;date;distance_km;duree_sec;vitesse_moy_kmh;fc_moyenne;calories;activity;zone;metric;FC_repos;TRIMP
0;2025-05-02;3.02;3712.0;2.93;124.0;729.0;Swim;Z2;2.0451790633608815;49.0;58.48
1;2025-05-03;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
2;2025-05-04;10.27;2998.0;12.33;168.0;713.0;Run;Z4;4:52;43.0;139.16
3;2025-05-05;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
4;2025-05-06;2.82;3696.0;2.75;139.0;686.0;Swim;Z3;2.180530973451327;45.0;88.73
5;2025-05-07;6.28;1970.0;11.47;163.0;463.0;Run;Z4;5:14;45.0;81.58
6;2025-05-08;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;48.0;-0.0
7;2025-05-09;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
8;2025-05-10;11.97;3908.0;11.02;164.0;911.0;Run;Z4;5:27;40.0;168.51
9;2025-05-11;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
10;2025-05-12;16.47;4402.0;13.47;143.0;987.0;Run;Z3;4:27;48.0;113.49
11;2025-05-13;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
12;2025-05-14;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
13;2025-05-15;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
14;2025-05-16;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
15;2025-05-17;10.0;2811.0;12.81;167.0;705.0;Run;Z4;4:41;46.0;126.47
16;2025-05-18;22.57;5302.0;15.33;115.0;543.0;Ride;Z2;15.3252;48.0;66.02
17;2025-05-19;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
18;2025-05-20;3.88;4375.0;3.19;145.0;944.0;Swim;Z3;1.881720430107527;41.0;124.41
19;2025-05-21;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
20;2025-05-22;10.9;2664.0;14.72;119.0;350.0;Ride;Z2;14.724;43.0;39.64
21;2025-05-23;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
22;2025-05-24;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;47.0;-0.0
23;2025-05-25;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
24;2025-05-26;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
25;2025-05-27;2.82;3472.0;2.93;138.0;686.0;Swim;Z3;2.048377581120944;43.0;82.77
26;2025-05-28;10.0;2725.0;13.21;169.0;698.0;Run;Z4;4:33;44.0;128.78
27;2025-05-29;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
28;2025-05-30;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
29;2025-05-31;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
30;2025-06-01;15.01;4998.0;10.81;148.0;1082.0;Run;Z3;5:33;40.0;152.94
31;2025-06-02;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
32;2025-06-03;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;38.0;-0.0
33;2025-06-04;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;38.0;-0.0
34;2025-06-05;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
35;2025-06-06;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
36;2025-06-07;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;46.0;-0.0
37;2025-06-08;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;38.0;-0.0
38;2025-06-09;10.0;2737.0;13.15;173.0;712.0;Run;Z5;4:34;38.0;142.69
